Transaction ID,Transaction Date,Transaction_Date_Numeric,Transaction_Date_Scaled
TXN_1002182,2024-10-08,1728345600,0.7905759162303665
TXN_1003865,2022-03-12,1647043200,-0.8516579406631762
TXN_1003940,2022-04-22,1650585600,-0.7801047120418848
TXN_1004091,2023-11-09,1699488000,0.20767888307155322
TXN_1004124,2022-03-02,1646179200,-0.8691099476439791
TXN_1004284,2023-09-25,1695600000,0.12914485165794065
TXN_1005750,2022-11-26,1669420800,-0.39965095986038396
TXN_1006123,2023-10-17,1697500800,0.16753926701570682
TXN_1006129,2024-11-05,1730764800,0.8394415357766143
TXN_1006950,2023-08-03,1691020800,0.03664921465968586
TXN_1007144,2022-03-05,1646438400,-0.8638743455497382
TXN_1007406,2022-05-08,1651968000,-0.7521815008726004
TXN_1007496,2024-02-05,1707091200,0.3612565445026178
TXN_1007510,2022-10-03,1664755200,-0.493891797556719
TXN_1009738,2023-04-23,1682208000,-0.14136125654450263
TXN_1010570,2023-04-24,1682294400,-0.13961605584642234
TXN_1010976,2022-06-30,1656547200,-0.6596858638743456
TXN_1011669,2025-01-17,1737072000,0.9668411867364747
TXN_1011882,2023-10-31,1698710400,0.19197207678883071
TXN_1011892,2023-08-27,1693094400,0.07853403141361257
TXN_1011915,2023-03-25,1679702400,-0.19197207678883071
TXN_1012234,2024-05-12,1715472000,0.5305410122164049
TXN_1012276,2024-11-14,1731542400,0.8551483420593369
TXN_1013045,2023-07-11,1689033600,-0.0034904013961605585
TXN_1014253,2023-01-15,1673740800,-0.31239092495637
TXN_1014375,2023-09-28,1695859200,0.1343804537521815
TXN_1015414,2022-12-13,1670889600,-0.3699825479930192
TXN_1016209,2024-11-09,1731110400,0.8464223385689355
TXN_1016292,2022-02-12,1644624000,-0.900523560209424
TXN_1016655,2023-10-22,1697932800,0.1762652705061082
TXN_1017087,2023-05-22,1684713600,-0.09075043630017451
TXN_1017199,2024-01-14,1705190400,0.3228621291448517
TXN_1018578,2023-01-17,1673913600,-0.3089005235602094
TXN_1019817,2022-08-01,1659312000,-0.6038394415357766
TXN_1020775,2023-04-08,1680912000,-0.16753926701570682
